29	2026-03-10T00:04:56-05:00	2026-02-28T00:00:00Z	2026-03-10T00:03:01-05:00	Place: Minneapolis salsa and bachata (msbd)
30	2026-03-03T10:29:43-06:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:53-05:00	Modern Jive (modern-jive)
31	2026-03-03T10:29:43-06:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:53-05:00	Article: Ceroc® New Zealand Competition Rules, Categories and Judging Criteria
32	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:53-05:00	Ceroc dancing
33	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:53-05:00	Swing dancing (swing)
34	2026-03-10T00:06:53-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Move: First Move
35	2026-03-10T00:05:27-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Reference: Twin Cities dancing event calendar
36	2026-03-03T10:29:43-06:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:05-05:00	Place: Blues saloon
37	2026-03-10T00:06:28-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Reference: Modern jive dance moves
38	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:54-05:00	Modern jive circle
39	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:05-05:00	Place: Mediterranean Cruise Cafe
40	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:54-05:00	Partner dancing (dancing)
41	2026-03-10T00:06:31-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Reference: Dancing Studios (studio)
42	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:55-05:00	Social dancing (dance-social)
43	2026-03-10T00:07:56-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:07:43-05:00	On1 Salsa (on1-salsa)
44	2026-03-03T10:29:43-06:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:05-05:00	Place: Urban Daisy
45	2026-03-10T00:08:40-05:00	2026-02-28T00:00:00Z	2026-03-10T00:02:55-05:00	On2 Salsa (on2-salsa)
46	2026-03-10T00:08:40-05:00	2026-02-28T00:00:00Z	2026-03-10T00:02:55-05:00	Cuban Salsa (cuban-salsa)
47	2026-03-10T00:08:40-05:00	2026-02-28T00:00:00Z	2026-03-10T00:02:55-05:00	Rueda de Casino (rueda)
48	2026-03-10T00:08:40-05:00	2026-02-28T00:00:00Z	2026-03-10T00:02:55-05:00	Kizomba (kizomba)
49	2026-03-10T00:09:38-05:00	2026-02-28T00:00:00Z	2026-03-10T00:09:12-05:00	Cumbia (cumbia)
50	2026-03-10T00:08:40-05:00	2026-02-28T00:00:00Z	2026-03-10T00:02:55-05:00	Merengue (merengue)
